global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
1,1,13,2,2,2,3,2,0,1,2,0,0,0,0,0,-1,0,0,0,c2,c2r29
2,2,12,3,2,2,3,-1,0,1,2,0,0,0,0,0,0,0,0,0,c2,c2r45
3,3,11,2,2,2,3,1,0,-1,1,0,0,0,0,0,1,0,0,0,c2,c2r12
3,3,11,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,c2,c2r37
4,4,10,2,2,2,1,2,0,1,1,0,0,0,0,0,-1,0,0,0,c2,c2r17
4,4,10,2,2,2,3,1,0,-1,0,0,0,0,0,0,1,0,0,0,c2,c2r21
4,4,10,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,c2,c2r43
4,4,10,3,2,2,2,-1,0,0,1,0,0,0,0,0,1,0,0,0,c2,c2r47
5,5,9,2,2,2,2,1,0,-1,1,0,0,0,0,0,0,0,0,0,c2,c2r3
6,6,8,2,2,2,3,-1,0,-1,1,0,0,0,0,0,0,0,0,0,c2,c2r6
6,6,8,2,2,2,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,c2,c2r15
6,6,8,2,2,2,3,-1,0,-1,0,0,0,0,0,0,1,0,0,0,c2,c2r22
6,6,8,2,2,2,3,-1,0,-1,0,0,0,0,0,0,1,0,0,0,c2,c2r35
6,6,8,3,2,2,1,-1,0,-1,1,0,0,0,0,0,1,0,0,0,c2,c2r44
7,7,7,3,2,2,3,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,c2,c2r1
7,7,7,2,2,3,2,-1,0,-1,0,0,0,0,0,0,0,0,0,0,c2,c2r28
7,7,7,2,2,2,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,c2,c2r33
8,8,6,3,2,2,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,c2,c2r14
9,9,5,2,1,0,2,1,0,1,0,-1,0,0,0,0,0,0,-1,0,c2,c2r19
9,9,5,3,2,2,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,c2,c2r42
11,10,3,2,2,2,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,c2,c2r18
12,11,2,2,0,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,c2,c2r13
13,12,1,2,1,2,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r9
13,12,1,2,1,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,c2,c2r11
13,12,1,3,1,1,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,c2,c2r39
14,13,0,1,1,0,1,-1,0,-1,1,-1,0,0,0,0,-1,0,0,0,c2,c2r23
14,13,0,1,1,1,-1,-1,0,-1,0,-1,0,0,0,0,1,0,0,0,c2,c2r26
15,14,-1,2,-1,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,c2,c2r7
15,14,-1,1,1,0,1,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,c2,c2r25
15,14,-1,2,1,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r32
16,15,-2,2,-1,0,-1,-1,0,1,0,-1,0,0,0,0,-1,0,0,0,c2,c2r0
16,15,-2,2,-1,0,2,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r40
16,15,-2,2,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,c2,c2r41
17,16,-3,2,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r8
17,16,-3,1,1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r10
17,16,-3,2,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r27
17,16,-3,0,1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,c2,c2r31
17,16,-3,2,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r34
17,16,-3,2,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r38
18,17,-4,2,1,-1,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,0,c2,c2r20
18,17,-4,3,-1,0,-1,-1,0,-1,0,-2,0,0,0,0,-1,0,0,0,c2,c2r24
18,17,-4,1,-1,0,2,-1,0,-1,0,-1,0,-1,0,0,-2,0,0,0,c2,c2r46
19,18,-5,2,-1,0,1,-1,0,-1,0,-2,0,-1,0,0,-1,0,-1,0,c2,c2r16
20,19,-6,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c2,c2r2
20,19,-6,1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,-1,0,0,0,c2,c2r30
22,20,-8,0,-1,0,-1,-1,0,-1,0,-2,0,-1,0,0,0,-1,0,0,c2,c2r48
23,21,-9,1,-1,0,0,-1,0,-1,0,-1,0,-2,0,-1,-2,-1,0,0,c2,c2r36
24,22,-10,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,-2,0,0,c2,c2r4
24,22,-10,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,-2,-2,0,0,c2,c2r5
2,1,12,3,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,c3,c3r6
6,2,8,1,2,2,3,1,0,-1,0,0,0,0,0,0,0,0,0,0,c3,c3r12
8,3,6,3,2,2,2,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,c3,c3r8
8,3,6,2,2,2,2,-1,0,1,0,-1,0,0,0,0,-1,0,0,0,c3,c3r14
8,3,6,2,2,2,2,-1,0,1,0,-1,0,0,0,0,-1,0,0,0,c3,c3r19
